data,cod_prov,pro_com_t,provincia,comune,%vaccinati,%immunizzati
2021-12-01,84,084001,Agrigento,Agrigento,88.53,86.55
2021-12-01,84,084002,Agrigento,Alessandria della Rocca,85.60,83.91
2021-12-01,84,084003,Agrigento,Aragona,89.37,87.74
2021-12-01,84,084004,Agrigento,Bivona,86.42,84.59
2021-12-01,84,084005,Agrigento,Burgio,89.77,88.50
2021-12-01,84,084006,Agrigento,Calamonaci,80.94,79.79
2021-12-01,84,084007,Agrigento,Caltabellotta,85.73,83.37
2021-12-01,84,084008,Agrigento,Camastra,81.45,78.52
2021-12-01,84,084009,Agrigento,Cammarata,89.05,87.13
2021-12-01,84,084010,Agrigento,Campobello di Licata,85.36,83.39
2021-12-01,84,084011,Agrigento,Canicattì,82.43,80.27
2021-12-01,84,084012,Agrigento,Casteltermini,86.55,85.18
2021-12-01,84,084013,Agrigento,Castrofilippo,80.25,78.12
2021-12-01,84,084014,Agrigento,Cattolica Eraclea,82.28,79.97
2021-12-01,84,084015,Agrigento,Cianciana,87.92,85.98
2021-12-01,84,084016,Agrigento,Comitini,95.38,92.88
2021-12-01,84,084017,Agrigento,Favara,86.98,84.50
2021-12-01,84,084018,Agrigento,Grotte,87.68,86.29
2021-12-01,84,084019,Agrigento,Joppolo Giancaxio,83.81,82.83
2021-12-01,84,084020,Agrigento,Lampedusa e Linosa,81.17,77.03
2021-12-01,84,084021,Agrigento,Licata,77.60,74.56
2021-12-01,84,084022,Agrigento,Lucca Sicula,92.03,89.80
2021-12-01,84,084023,Agrigento,Menfi,85.67,83.43
2021-12-01,84,084024,Agrigento,Montallegro,84.59,83.34
2021-12-01,84,084025,Agrigento,Montevago,88.09,86.16
2021-12-01,84,084026,Agrigento,Naro,82.09,79.78
2021-12-01,84,084027,Agrigento,Palma di Montechiaro,76.03,72.89
2021-12-01,84,084028,Agrigento,Porto Empedocle,83.63,81.49
2021-12-01,84,084029,Agrigento,Racalmuto,84.69,82.97
2021-12-01,84,084030,Agrigento,Raffadali,88.28,86.11
2021-12-01,84,084031,Agrigento,Ravanusa,73.28,70.85
2021-12-01,84,084032,Agrigento,Realmonte,86.49,84.34
2021-12-01,84,084033,Agrigento,Ribera,84.09,82.02
2021-12-01,84,084034,Agrigento,Sambuca di Sicilia,90.62,87.90
2021-12-01,84,084035,Agrigento,San Biagio Platani,86.38,83.09
2021-12-01,84,084036,Agrigento,San Giovanni Gemini,86.70,84.61
2021-12-01,84,084037,Agrigento,Santa Elisabetta,87.76,85.85
2021-12-01,84,084038,Agrigento,Santa Margherita di Belice,86.06,84.22
2021-12-01,84,084039,Agrigento,Sant'Angelo Muxaro,84.62,82.78
2021-12-01,84,084040,Agrigento,Santo Stefano Quisquina,88.76,86.90
2021-12-01,84,084041,Agrigento,Sciacca,91.89,90.48
2021-12-01,84,084042,Agrigento,Siculiana,83.50,81.83
2021-12-01,84,084043,Agrigento,Villafranca Sicula,89.79,88.07
2021-12-01,85,085001,Caltanissetta,Acquaviva Platani,95.47,93.50
2021-12-01,85,085002,Caltanissetta,Bompensiere,90.59,87.24
2021-12-01,85,085003,Caltanissetta,Butera,73.96,71.25
2021-12-01,85,085004,Caltanissetta,Caltanissetta,84.71,82.46
2021-12-01,85,085005,Caltanissetta,Campofranco,81.07,79.41
2021-12-01,85,085006,Caltanissetta,Delia,81.23,78.70
